,wyId,label,numbGoals
99,2516942,"Eintracht Frankfurt - RB Leipzig, 2 - 1",3
100,2516940,"Borussia M'gladbach - Borussia Dortmund, 0 - 1",1
101,2516943,"Augsburg - Stuttgart, 0 - 1",1
102,2516941,"Schalke 04 - Hoffenheim, 2 - 1",3
103,2516937,"Köln - Hannover 96, 1 - 1",2
104,2516939,"Freiburg - Werder Bremen, 1 - 0",1
105,2516944,"Hamburger SV - Bayer Leverkusen, 1 - 2",3
106,2516945,"Wolfsburg - Bayern München, 1 - 2",3
107,2516938,"Hertha BSC - Mainz 05, 0 - 2",2
108,2516932,"Werder Bremen - Wolfsburg, 3 - 1",4
109,2516936,"Stuttgart - Borussia M'gladbach, 1 - 0",1
110,2516928,"Bayern München - Schalke 04, 2 - 1",3
111,2516929,"Borussia Dortmund - Hamburger SV, 2 - 0",2
112,2516931,"Hoffenheim - Mainz 05, 4 - 2",6
113,2516933,"Eintracht Frankfurt - Köln, 4 - 2",6
114,2516934,"Bayer Leverkusen - Hertha BSC, 0 - 2",2
115,2516935,"Hannover 96 - Freiburg, 2 - 1",3
116,2516930,"RB Leipzig - Augsburg, 2 - 0",2
117,2516925,"Hamburger SV - Hannover 96, 1 - 1",2
118,2516924,"Augsburg - Eintracht Frankfurt, 3 - 0",3
119,2516922,"Borussia M'gladbach - RB Leipzig, 0 - 1",1
120,2516920,"Hertha BSC - Hoffenheim, 1 - 1",2
121,2516921,"Freiburg - Bayer Leverkusen, 0 - 0",0
122,2516923,"Schalke 04 - Werder Bremen, 1 - 2",3
123,2516926,"Mainz 05 - Bayern München, 0 - 2",2
124,2516927,"Wolfsburg - Stuttgart, 1 - 1",2
125,2516919,"Köln - Borussia Dortmund, 2 - 3",5
126,2516917,"Hannover 96 - Wolfsburg, 0 - 1",1
127,2516916,"Bayer Leverkusen - Mainz 05, 2 - 0",2
128,2516914,"Werder Bremen - Hertha BSC, 0 - 0",0
129,2516910,"Bayern München - Hoffenheim, 5 - 2",7
130,2516911,"Borussia Dortmund - Freiburg, 2 - 2",4
131,2516912,"RB Leipzig - Hamburger SV, 1 - 1",2
132,2516913,"Köln - Augsburg, 1 - 1",2
133,2516918,"Stuttgart - Schalke 04, 0 - 2",2
134,2516915,"Eintracht Frankfurt - Borussia M'gladbach, 2 - 0",2
135,2516906,"Schalke 04 - Hannover 96, 1 - 1",2
136,2516901,"Bayern München - Werder Bremen, 4 - 2",6
137,2516907,"Hamburger SV - Köln, 0 - 2",2
138,2516902,"Hoffenheim - Bayer Leverkusen, 1 - 4",5
139,2516904,"Freiburg - RB Leipzig, 2 - 1",3
140,2516905,"Borussia M'gladbach - Augsburg, 2 - 0",2
141,2516908,"Mainz 05 - Stuttgart, 3 - 2",5
142,2516909,"Wolfsburg - Eintracht Frankfurt, 1 - 3",4
143,2516903,"Hertha BSC - Borussia Dortmund, 1 - 1",2
144,2516892,"Borussia Dortmund - Wolfsburg, 0 - 0",0
145,2516894,"Köln - Borussia M'gladbach, 2 - 1",3
146,2516893,"RB Leipzig - Schalke 04, 3 - 1",4
147,2516896,"Eintracht Frankfurt - Freiburg, 1 - 1",2
148,2516895,"Werder Bremen - Hoffenheim, 1 - 1",2
149,2516898,"Augsburg - Hamburger SV, 1 - 0",1
150,2516899,"Hannover 96 - Mainz 05, 3 - 2",5
151,2516900,"Stuttgart - Hertha BSC, 1 - 0",1
152,2516897,"Bayer Leverkusen - Bayern München, 1 - 3",4
153,2516884,"RB Leipzig - Hertha BSC, 2 - 3",5
154,2516890,"Hannover 96 - Bayer Leverkusen, 4 - 4",8
155,2516883,"Borussia Dortmund - Hoffenheim, 2 - 1",3
156,2516888,"Eintracht Frankfurt - Schalke 04, 2 - 2",4
157,2516885,"Köln - Wolfsburg, 1 - 0",1
158,2516886,"Werder Bremen - Mainz 05, 2 - 2",4
159,2516889,"Augsburg - Freiburg, 3 - 3",6
160,2516891,"Stuttgart - Bayern München, 0 - 1",1
161,2516887,"Borussia M'gladbach - Hamburger SV, 3 - 1",4
162,2516874,"Bayern München - Köln, 1 - 0",1
163,2516876,"Hertha BSC - Hannover 96, 3 - 1",4
164,2516878,"Schalke 04 - Augsburg, 3 - 2",5
165,2516879,"Bayer Leverkusen - Werder Bremen, 1 - 0",1
166,2516875,"Hoffenheim - Stuttgart, 1 - 0",1
167,2516880,"Hamburger SV - Eintracht Frankfurt, 1 - 2",3
168,2516881,"Mainz 05 - Borussia Dortmund, 0 - 2",2
169,2516877,"Freiburg - Borussia M'gladbach, 1 - 0",1
170,2516882,"Wolfsburg - RB Leipzig, 1 - 1",2
171,2516870,"Augsburg - Hertha BSC, 1 - 1",2
172,2516872,"Hannover 96 - Hoffenheim, 2 - 0",2
173,2516867,"Köln - Freiburg, 3 - 4",7
174,2516868,"Borussia M'gladbach - Schalke 04, 1 - 1",2
175,2516865,"Borussia Dortmund - Werder Bremen, 1 - 2",3
176,2516866,"RB Leipzig - Mainz 05, 2 - 2",4
177,2516869,"Eintracht Frankfurt - Bayern München, 0 - 1",1
178,2516871,"Hamburger SV - Wolfsburg, 0 - 0",0
179,2516873,"Stuttgart - Bayer Leverkusen, 0 - 2",2
180,2516864,"Wolfsburg - Borussia M'gladbach, 3 - 0",3
181,2516858,"Hertha BSC - Eintracht Frankfurt, 1 - 2",3
182,2516861,"Schalke 04 - Köln, 2 - 2",4
183,2516856,"Bayern München - Hannover 96, 3 - 1",4
184,2516857,"Hoffenheim - RB Leipzig, 4 - 0",4
185,2516860,"Werder Bremen - Stuttgart, 1 - 0",1
186,2516862,"Bayer Leverkusen - Borussia Dortmund, 1 - 1",2
187,2516863,"Mainz 05 - Augsburg, 1 - 3",4
188,2516859,"Freiburg - Hamburger SV, 0 - 0",0
189,2516849,"Köln - Hertha BSC, 0 - 2",2
190,2516854,"Hamburger SV - Hoffenheim, 3 - 0",3
191,2516851,"Borussia M'gladbach - Bayern München, 2 - 1",3
192,2516847,"Borussia Dortmund - Schalke 04, 4 - 4",8
193,2516848,"RB Leipzig - Werder Bremen, 2 - 0",2
194,2516850,"Freiburg - Mainz 05, 2 - 1",3
195,2516853,"Augsburg - Wolfsburg, 2 - 1",3
196,2516852,"Eintracht Frankfurt - Bayer Leverkusen, 0 - 1",1
197,2516855,"Hannover 96 - Stuttgart, 1 - 1",2
