,Goal,X,Y,C,matchId,teamId,eventSec,Distance,Angle,xG
0,1,11,51,1.0,2500687.0,3776.0,1320.6100310000002,11.019187810360616,0.6405312552365475,0.76
1,1,10,50,0.0,2500688.0,3766.0,808.741059,10.0,0.701714016520786,0.76
2,1,11,50,0.0,2500690.0,3785.0,2315.627895,11.0,0.6424100014274466,0.76
3,1,11,49,1.0,2500702.0,3775.0,1037.8103259999998,11.019187810360616,0.6405312552365475,0.76
4,1,10,50,0.0,2500704.0,3779.0,2212.923904,10.0,0.701714016520786,0.76
5,1,10,50,0.0,2500705.0,3780.0,2538.409431,10.0,0.701714016520786,0.76
6,1,11,50,0.0,2500712.0,3767.0,1754.4304970000003,11.0,0.6424100014274466,0.76
7,1,10,49,1.0,2500713.0,3804.0,2791.163006,10.021102733731452,0.6993156780131807,0.76
8,1,11,50,0.0,2500714.0,3782.0,733.42197,11.0,0.6424100014274466,0.76
9,1,10,50,0.0,2500714.0,3782.0,2380.871234,10.0,0.701714016520786,0.76
10,1,10,50,0.0,2500722.0,19830.0,1180.925714,10.0,0.701714016520786,0.76
11,1,10,49,1.0,2500722.0,19830.0,2026.778816,10.021102733731452,0.6993156780131807,0.76
12,1,10,51,1.0,2500724.0,3767.0,1168.203961,10.021102733731452,0.6993156780131807,0.76
13,1,11,50,0.0,2500725.0,3780.0,2044.528147,11.0,0.6424100014274466,0.76
14,1,11,51,1.0,2500725.0,3780.0,1555.7859790000002,11.019187810360616,0.6405312552365475,0.76
15,1,11,50,0.0,2500726.0,3783.0,247.922475,11.0,0.6424100014274466,0.76
16,0,10,50,0.0,2500729.0,3774.0,2771.650719,10.0,0.701714016520786,0.76
17,1,11,50,0.0,2500732.0,3775.0,328.226362,11.0,0.6424100014274466,0.76
18,1,10,50,0.0,2500733.0,3799.0,522.888329,10.0,0.701714016520786,0.76
19,1,11,49,1.0,2500738.0,3782.0,203.85732800000005,11.019187810360616,0.6405312552365475,0.76
20,0,11,49,1.0,2500742.0,3767.0,2038.167496,11.019187810360616,0.6405312552365475,0.76
21,0,11,49,1.0,2500746.0,3785.0,165.497229,11.019187810360616,0.6405312552365475,0.76
22,0,10,51,1.0,2500746.0,3772.0,1814.640996,10.021102733731452,0.6993156780131807,0.76
23,1,11,50,0.0,2500747.0,3783.0,509.27816399999983,11.0,0.6424100014274466,0.76
24,1,11,52,2.0,2500748.0,19830.0,1678.8119900000002,11.076551810017412,0.6349513266727096,0.76
25,1,10,51,1.0,2500749.0,3804.0,1382.410389,10.021102733731452,0.6993156780131807,0.76
26,1,11,50,0.0,2500749.0,3766.0,1052.3024480000004,11.0,0.6424100014274466,0.76
27,1,11,49,1.0,2500753.0,3775.0,2332.863835,11.019187810360616,0.6405312552365475,0.76
28,1,10,50,0.0,2500754.0,3774.0,474.4857219999999,10.0,0.701714016520786,0.76
29,1,11,50,0.0,2500754.0,3782.0,1498.4817540000004,11.0,0.6424100014274466,0.76
30,0,11,50,0.0,2500761.0,3777.0,2956.064866,11.0,0.6424100014274466,0.76
31,0,10,52,2.0,2500762.0,3775.0,2228.720539,10.084145972763386,0.6922019060806314,0.76
32,1,10,48,2.0,2500763.0,3767.0,2397.02387,10.084145972763386,0.6922019060806314,0.76
33,1,11,49,1.0,2500763.0,3772.0,2649.8558110000004,11.019187810360616,0.6405312552365475,0.76
34,1,11,49,1.0,2500770.0,3795.0,2823.7852460000004,11.019187810360616,0.6405312552365475,0.76
35,0,10,51,1.0,2500773.0,3782.0,2355.840435,10.021102733731452,0.6993156780131807,0.76
36,1,10,51,1.0,2500780.0,19830.0,835.2473340000001,10.021102733731452,0.6993156780131807,0.76
37,1,11,50,0.0,2500782.0,3775.0,518.3724969999998,11.0,0.6424100014274466,0.76
38,1,11,51,1.0,2500785.0,3766.0,1464.6941960000004,11.019187810360616,0.6405312552365475,0.76
39,1,11,49,1.0,2500794.0,3779.0,1638.957325,11.019187810360616,0.6405312552365475,0.76
40,1,10,50,0.0,2500798.0,3776.0,2764.937042,10.0,0.701714016520786,0.76
41,1,11,49,1.0,2500799.0,19830.0,2748.401777,11.019187810360616,0.6405312552365475,0.76
42,1,10,49,1.0,2500802.0,3775.0,2345.768011,10.021102733731452,0.6993156780131807,0.76
