,Goal,X,Y,C,matchId,teamId,eventSec,Distance,Angle,D2,xG
1583,0,9,47,3.0,2565617.0,698.0,1106.856517,9.208827286902496,0.7451618621324422,84.80249999999998,0.11865112935350468
1584,0,9,44,6.0,2565617.0,677.0,1399.398393,9.808669634563088,0.6719994763468652,96.21,0.10141447407363752
1585,0,9,64,14.0,2565617.0,698.0,1493.5105979999998,12.798828071350908,0.4128216292258632,163.81,0.04878004087467277
1586,0,9,43,7.0,2565617.0,677.0,1620.1696899999995,10.084765738479003,0.6409583980197452,101.70249999999996,0.09443944812193071
1587,0,9,41,9.0,2565617.0,698.0,1819.537259,10.734174397688909,0.5742494903792517,115.22250000000005,0.08009082645396046
1588,0,10,59,9.0,2565618.0,756.0,2194.359584,11.585443452885176,0.5446918460172443,134.2225,0.06651191816005875
1589,0,4,61,11.0,2565618.0,756.0,2330.42221,8.192832233116945,0.4989796826387783,67.12249999999999,0.12901082248799053
1590,0,9,56,6.0,2565618.0,756.0,874.575887,9.808669634563088,0.6719994763468652,96.21,0.10141447407363752
1591,0,11,68,18.0,2565618.0,756.0,1902.023262,16.058953888718904,0.3181456701787912,257.89,0.024936335361810842
1592,0,12,45,5.0,2565618.0,756.0,2160.180525,12.432316759156356,0.5566137074293233,154.5625,0.056594355828515845
1593,0,12,35,15.0,2565618.0,756.0,2436.6860930000003,15.461646096066229,0.371201687764464,239.06250000000006,0.028658407583389747
1594,0,8,52,2.0,2565619.0,675.0,926.703208,8.104936767180853,0.8418590768612652,65.69000000000001,0.1549049241496827
1595,0,8,52,2.0,2565619.0,698.0,1103.50635,8.104936767180853,0.8418590768612652,65.69000000000001,0.1549049241496827
1596,1,7,57,7.0,2565620.0,674.0,2065.588733,8.348802309313594,0.7383195769170792,69.7025,0.14044723183051241
1597,1,4,52,2.0,2565620.0,674.0,1124.35235,4.205948168962618,1.425167946224074,17.69,0.39782939309111387
1598,0,8,43,7.0,2565620.0,684.0,1570.902612,9.2033961123055,0.6875579905881853,84.70249999999999,0.11543514415260876
1599,0,10,42,8.0,2565621.0,701.0,51.72007600000006,11.271202242884296,0.5722266167646846,127.03999999999999,0.07184368552005073
1600,0,11,32,18.0,2565622.0,678.0,1105.314088,16.058953888718904,0.3181456701787912,257.89,0.024936335361810842
1601,0,8,53,3.0,2565622.0,680.0,585.594767,8.234227346873537,0.8221454799212867,67.80250000000001,0.14958499527981028
1602,0,7,49,1.0,2565623.0,696.0,51.142358,7.030113797087498,0.9579921227670136,49.42250000000001,0.2014851053353812
1603,0,4,46,4.0,2565623.0,687.0,736.7382189999998,4.770744176750625,1.261254489638787,22.76,0.34292699695727363
1604,0,11,46,4.0,2565624.0,683.0,1703.553298,11.303096920755834,0.6134491132665396,127.76000000000002,0.07293751940314062
1605,0,7,52,2.0,2565624.0,683.0,764.543885,7.119691004531025,0.9416306647895308,50.68999999999999,0.1965999192157342
1606,0,7,54,4.0,2565625.0,691.0,1091.576425,7.467261881037787,0.8799358423622258,55.75999999999999,0.17870575336867048
1607,0,8,39,11.0,2565625.0,695.0,1552.752977,10.72951536650188,0.5223293539584654,115.12249999999999,0.07804156672928927
1608,0,12,51,1.0,2565625.0,695.0,1698.803799,12.017591272796723,0.5905804834048406,144.42249999999996,0.0625325012504545
1609,0,9,39,11.0,2565625.0,695.0,2493.855638,11.494455185001158,0.5065873960010929,132.1225,0.06639075926642907
1610,0,10,42,8.0,2565625.0,691.0,216.84333000000012,11.271202242884296,0.5722266167646846,127.03999999999999,0.07184368552005073
1611,0,8,54,4.0,2565625.0,691.0,978.5114130000002,8.411896337925237,0.7957114159174332,70.76,0.14258536523806645
1612,0,8,63,13.0,2565625.0,691.0,1026.1694189999998,11.636257989577231,0.447497912175087,135.40249999999995,0.06256272160132996
1613,0,7,65,15.0,2565625.0,691.0,1606.175969,12.002603884157804,0.3737140741731906,144.0625,0.055927735787774234
1614,0,7,59,9.0,2565625.0,691.0,1793.000118,9.12263668025862,0.633061737778271,83.2225,0.1141912178142386
1615,1,5,44,6.0,2565626.0,676.0,2162.84913,6.341135544995076,0.9385024904911102,40.21,0.22768545076237712
1616,0,9,62,12.0,2565627.0,714.0,1681.996265,11.909659944767524,0.4739196160379323,141.83999999999997,0.060074550141540645
1617,0,3,40,10.0,2565627.0,714.0,1704.9142,7.158910531638177,0.525671713980233,51.25,0.1610148010363554
1618,0,11,42,8.0,2565627.0,714.0,1929.571661,12.167168939404103,0.5389621048954089,148.03999999999996,0.05907888562169231
1619,0,6,65,15.0,2565627.0,714.0,2191.883134,11.44825314185531,0.357241729761348,131.0625,0.06194914524297798
1620,0,12,64,14.0,2565627.0,692.0,1334.2324239999998,15.06021248190078,0.3904607295335587,226.81000000000006,0.031212802762086652
1621,0,9,57,7.0,2565628.0,698.0,2132.856291,10.084765738479003,0.6409583980197452,101.70249999999996,0.09443944812193071
1622,0,12,41,9.0,2565628.0,695.0,366.4808229999999,13.35,0.4896375906700872,178.2225,0.04564162427713118
1623,0,9,49,1.0,2565628.0,698.0,1691.1599399999996,9.023441693721969,0.769366755943685,81.4225,0.12461310545899425
1624,0,6,44,6.0,2565629.0,683.0,1740.981216,7.156116265125938,0.8599601730708396,51.21,0.18812107159478528
1625,0,11,52,2.0,2565629.0,683.0,1760.3487299999997,11.076551810017412,0.6349513266727096,122.69,0.07716836447767089
1626,0,9,51,1.0,2565629.0,683.0,2682.808344,9.023441693721969,0.769366755943685,81.4225,0.12461310545899425
1627,0,13,46,4.0,2565630.0,682.0,231.614843,13.25745073534124,0.5301280752147015,175.76,0.04748760299948585
1628,0,11,61,11.0,2565630.0,682.0,498.954878,13.11954648606422,0.469459735210647,172.1225,0.04722104306091369
1629,0,4,57,7.0,2565630.0,714.0,1475.7323960000003,6.058258825768341,0.8984987543452917,36.7025,0.23600304578410394
1630,0,9,51,1.0,2565630.0,714.0,1506.2263039999998,9.023441693721969,0.769366755943685,81.4225,0.12461310545899425
1631,0,7,46,4.0,2565631.0,756.0,344.534591,7.467261881037787,0.8799358423622258,55.75999999999999,0.17870575336867048
1632,0,8,39,11.0,2565631.0,677.0,853.2690399999999,10.72951536650188,0.5223293539584654,115.12249999999999,0.07804156672928927
1633,0,12,55,5.0,2565631.0,677.0,2134.709619,12.432316759156356,0.5566137074293233,154.5625,0.056594355828515845
