"","Team","estimate","SE","quasiSE","quasiVar","Std. Error","z value","Pr(>|z|)"
"1","GAMMA.Augsburg",0.637011351025581,0.433641292891905,0.304974146012339,0.0930092297359552,0.433641292891905,1.46898222440355,0.141837610639813
"2","GAMMA.Bayer.Leverkusen",1.66312766750706,0.442076614277167,0.310733039875962,0.096555022070556,0.442076614277167,3.76208017749688,0.000168506007356937
"3","GAMMA.Bayern.München",2.78405723343939,0.462856396677609,0.334252776828672,0.111724918817678,0.462856396677609,6.01494816410317,1.79944270971866e-09
"4","GAMMA.Borussia.Dortmund",1.70202612120654,0.442569993367901,0.31122280676151,0.0968596354485121,0.442569993367901,3.84577840050641,0.000120170333151797
"5","GAMMA.Borussia.M.gladbach",0.418516030107711,0.433011567071986,0.305603156845669,0.0933932894740386,0.433011567071986,0.966523903593862,0.333782091743707
"6","GAMMA.Eintracht.Frankfurt",1.18543486620684,0.437069462935716,0.306329633311675,0.093837844244865,0.437069462935716,2.71223447697418,0.00668312998778992
"7","GAMMA.Freiburg",0.0984577158031577,0.432906981719023,0.307759549536577,0.0947159403309568,0.432906981719023,0.227433882937608,0.820086375748502
"8","GAMMA.Hamburger.SV",0.104715913247326,0.432899513889656,0.307703520932911,0.0946814567945102,0.432899513889656,0.241894273122278,0.808862087769799
"9","GAMMA.Hannover.96",0.582285985985344,0.433442247910767,0.305067519702057,0.0930661915771647,0.433442247910767,1.34339923898055,0.179142733188063
"10","GAMMA.Hertha.BSC",0.6168066774358,0.43356470503434,0.305003621422004,0.0930272090805369,0.43356470503434,1.42264042776948,0.154840418092664
"11","GAMMA.Hoffenheim",0.882839414190129,0.434863672888244,0.305075224775088,0.0930708927715707,0.434863672888244,2.03015213555677,0.042341077428008
"12","GAMMA.Köln",-0.614449038425743,0.436270589423818,0.317630949817336,0.100889420281863,0.436270589423818,-1.40841269918572,0.159008901026598
"13","GAMMA.Mainz.05",0.316246100668035,0.432870782187053,0.306133294280593,0.0937175938670883,0.432870782187053,0.730578532166623,0.465036628709728
"14","GAMMA.RB.Leipzig",1.27676197137302,0.437881915397884,0.306944379631561,0.0942148521874036,0.437881915397884,2.91576775947207,0.00354814504533143
"15","GAMMA.Schalke.04",0.867585110555983,0.434772296836309,0.3050444351752,0.0930521074313571,0.434772296836309,1.99549308193992,0.0459891279293757
"16","GAMMA.Stuttgart",0.405143194114308,0.432987624243567,0.305663587694265,0.0934302288421296,0.432987624243567,0.935692318740281,0.349431626609344
"17","GAMMA.Werder.Bremen",0.140880244256305,0.432863795112031,0.307390176669326,0.0944887207127993,0.432863795112031,0.325460909059959,0.744832263573356
"18","GAMMA.Wolfsburg",0,0,0.30871407073195,0.0953043774678914,NA,NA,0
