,matchId,label,numbGoals,goals_home,goals_away,team_home,team_away,id_home,id_away,xG_home,shots_home,xG_away,shots_away,xGps_home,xGps_away,xP_home,xP_away,xP_shots_home,xP_shots_away
22,2517020,"Hertha BSC - Augsburg, 2 - 2",4,2,2,Hertha BSC,Augsburg,2457,2481,1.934409290434194,7.0,0.8989256457864102,12.0,0.276344184347742,0.07491047048220086,2.14607,0.64331,2.26521,0.53091
23,2517021,"Freiburg - Köln, 3 - 2",5,3,2,Freiburg,Köln,2453,2463,3.110519369698104,14.0,1.3967236868257449,12.0,0.222179954978436,0.11639364056881207,2.36261,0.49598,2.48619,0.37485
24,2517023,"Schalke 04 - Borussia M'gladbach, 1 - 1",2,1,1,Schalke 04,Borussia M'gladbach,2449,2454,1.863202603518492,10.0,1.6773243176186825,11.0,0.1863202603518492,0.1524840288744257,1.51541,1.25165,1.51352,1.22294
25,2517026,"Wolfsburg - Hamburger SV, 1 - 3",4,1,3,Wolfsburg,Hamburger SV,2451,2450,1.2478636757246866,9.0,2.7274713953919605,14.0,0.13865151952496518,0.19481938538514004,0.55984,2.27668,0.42814,2.40742
26,2517019,"Hoffenheim - Hannover 96, 3 - 1",4,3,1,Hoffenheim,Hannover 96,2482,2455,1.6531188020652037,15.0,1.8144070476767291,13.0,0.11020792013768024,0.13956977289820993,1.27426,1.49371,1.25084,1.48268
27,2517011,"Köln - Schalke 04, 2 - 2",4,2,2,Köln,Schalke 04,2463,2449,0.7966575909298732,10.0,1.6400338656828963,19.0,0.07966575909298731,0.08631757187804717,0.76166,1.9907,0.72393,2.03049
28,2517014,"Augsburg - Mainz 05, 2 - 0",2,2,0,Augsburg,Mainz 05,2481,2460,1.9817198481467857,15.0,0.4024539074267896,7.0,0.13211465654311905,0.05749341534668423,2.47816,0.34813,2.50326,0.33102
29,2517009,"Borussia Dortmund - Bayer Leverkusen, 4 - 0",4,4,0,Borussia Dortmund,Bayer Leverkusen,2447,2446,2.358167980512424,16.0,0.6477268612455748,9.0,0.1473854987820265,0.07196965124950831,2.47723,0.37054,2.56416,0.29754
30,2517010,"RB Leipzig - Hoffenheim, 2 - 5",7,2,5,RB Leipzig,Hoffenheim,2975,2482,1.0478155409612648,14.0,2.9978903593404542,13.0,0.07484396721151891,0.2306069507184965,0.37578,2.49786,0.27901,2.60542
31,2517013,"Eintracht Frankfurt - Hertha BSC, 0 - 3",3,0,3,Eintracht Frankfurt,Hertha BSC,2462,2457,1.192124608623348,11.0,1.1004443803943365,4.0,0.10837496442030435,0.2751110950985841,1.39886,1.30142,1.35837,1.31448
32,2517015,"Hamburger SV - Freiburg, 1 - 0",1,1,0,Hamburger SV,Freiburg,2450,2453,1.4592672213671125,11.0,1.5073627635700078,11.0,0.13266065648791933,0.13703297850636434,1.33776,1.40745,1.31422,1.41226
33,2517016,"Hannover 96 - Bayern München, 0 - 3",3,0,3,Hannover 96,Bayern München,2455,2444,0.4840632105188026,6.0,1.6540913770179118,13.0,0.08067720175313377,0.12723779823214706,0.51659,2.25569,0.48299,2.29754
34,2517017,"Stuttgart - Werder Bremen, 2 - 0",2,2,0,Stuttgart,Werder Bremen,2445,2443,1.2975468021279155,9.0,0.6961341543254568,9.0,0.14417186690310171,0.0773482393694952,1.84723,0.8623,1.87167,0.8391
35,2517012,"Borussia M'gladbach - Wolfsburg, 3 - 0",3,3,0,Borussia M'gladbach,Wolfsburg,2454,2451,1.5231792803224489,13.0,0.5862109613880871,8.0,0.11716763694788068,0.0732763701735109,2.09681,0.65096,2.10702,0.64083
36,2517006,"Mainz 05 - Freiburg, 2 - 0",2,2,0,Mainz 05,Freiburg,2460,2453,1.7622168534740834,12.0,0.6558681327517302,11.0,0.14685140445617362,0.05962437570470274,2.19187,0.58696,2.2937,0.494
37,2517003,"Werder Bremen - RB Leipzig, 1 - 1",2,1,1,Werder Bremen,RB Leipzig,2443,2975,1.0279471277075485,15.0,0.7607792170570917,9.0,0.06852980851383657,0.08453102411745464,1.56322,1.11145,1.55715,1.11525
38,2517004,"Schalke 04 - Borussia Dortmund, 2 - 0",2,2,0,Schalke 04,Borussia Dortmund,2449,2447,0.9751764312727236,12.0,1.199355063330786,12.0,0.0812647026060603,0.0999462552775655,1.1708,1.53143,1.15464,1.54734
39,2517000,"Bayern München - Borussia M'gladbach, 5 - 1",6,5,1,Bayern München,Borussia M'gladbach,2444,2454,3.8552936728049274,19.0,0.3252522448677959,4.0,0.20291019330552248,0.08131306121694898,2.91849,0.05025,2.95579,0.02662
40,2517001,"Hoffenheim - Hamburger SV, 2 - 0",2,2,0,Hoffenheim,Hamburger SV,2482,2450,3.264244541857624,22.0,0.4774258550420751,12.0,0.14837475190261926,0.039785487920172925,2.79598,0.13552,2.84689,0.09922
41,2517002,"Hertha BSC - Köln, 2 - 1",3,2,1,Hertha BSC,Köln,2457,2463,1.548283294396691,12.0,1.5255226070372243,13.0,0.12902360786639092,0.11734789284901725,1.40134,1.35334,1.39451,1.3439
42,2517005,"Bayer Leverkusen - Eintracht Frankfurt, 4 - 1",5,4,1,Bayer Leverkusen,Eintracht Frankfurt,2446,2462,1.44920007039496,11.0,0.9601256315190656,7.0,0.13174546094499637,0.13716080450272367,1.72887,0.99762,1.76953,0.95251
43,2517008,"Stuttgart - Hannover 96, 1 - 1",2,1,1,Stuttgart,Hannover 96,2445,2455,0.7678747518478948,11.0,0.4881194112430452,8.0,0.06980679562253589,0.06101492640538065,1.57178,1.0277,1.57825,1.02211
44,2517007,"Wolfsburg - Augsburg, 0 - 0",0,0,0,Wolfsburg,Augsburg,2451,2481,1.4788546085393417,16.0,0.5299103965177201,8.0,0.09242841303370886,0.06623879956471501,2.10716,0.6329,2.13666,0.606
45,2516992,"RB Leipzig - Bayer Leverkusen, 1 - 4",5,1,4,RB Leipzig,Bayer Leverkusen,2975,2446,1.9846505929438347,18.0,1.7912260670754871,13.0,0.11025836627465749,0.13778662054426824,1.51342,1.26586,1.51711,1.25383
46,2516996,"Eintracht Frankfurt - Hoffenheim, 1 - 1",2,1,1,Eintracht Frankfurt,Hoffenheim,2462,2482,2.0199868339673483,15.0,1.0014250514411616,10.0,0.13466578893115655,0.10014250514411616,2.07544,0.71146,2.12883,0.65859
47,2516991,"Borussia Dortmund - Stuttgart, 3 - 0",3,3,0,Borussia Dortmund,Stuttgart,2447,2445,2.0120556688499387,14.0,0.7331831113455552,8.0,0.1437182620607099,0.0916478889181944,2.27149,0.53362,2.28484,0.51742
48,2516998,"Hamburger SV - Schalke 04, 3 - 2",5,3,2,Hamburger SV,Schalke 04,2450,2449,2.035094698275909,15.0,0.9153273702287856,8.0,0.1356729798850606,0.1144159212785982,2.14319,0.64706,2.16291,0.62772
49,2516993,"Köln - Mainz 05, 1 - 1",2,1,1,Köln,Mainz 05,2463,2460,1.484284358853894,15.0,1.240682782923607,12.0,0.0989522905902596,0.10339023191030057,1.54286,1.1969,1.52445,1.20252
