"","Team","estimate","SE","quasiSE","quasiVar","Std. Error","z value","Pr(>|z|)"
"1","GAMMA.Augsburg",1.03025658753551,0.642293095832155,0.446605174762198,0.199456182124373,0.642293095832155,1.60402874360763,0.108707716948266
"2","GAMMA.Bayer.Leverkusen",1.93812088750778,0.646354384720924,0.447049663173938,0.199853401343931,0.646354384720924,2.99854218262107,0.00271274600728862
"3","GAMMA.Bayern.München",2.73972957736958,0.655569690832978,0.456322911619734,0.208230599669111,0.655569690832978,4.17915839563667,2.92589854326055e-05
"4","GAMMA.Borussia.Dortmund",2.02619252019857,0.647084258829565,0.44765080223858,0.200391240744844,0.647084258829565,3.13126535308325,0.00174054814990167
"5","GAMMA.Borussia.M.gladbach",0.762375963486346,0.642568288486474,0.44869452323644,0.201326775182376,0.642568288486474,1.18645127241195,0.235444133792
"6","GAMMA.Eintracht.Frankfurt",0.762452826839522,0.642660524744935,0.448821559838272,0.20144079257566,0.642660524744935,1.18640059173096,0.235464138150877
"7","GAMMA.Freiburg",0.370241356025608,0.644676819787057,0.454180687532773,0.206280096927742,0.644676819787057,0.574305364582368,0.565761179610362
"8","GAMMA.Hamburger.SV",0.116675406244606,0.647104591872303,0.459175191992017,0.210841856940906,0.647104591872303,0.180303783515154,0.856914085534663
"9","GAMMA.Hannover.96",0.448541670393221,0.644315925805929,0.453148304216874,0.205343385614629,0.644315925805929,0.696151767212913,0.486333789954698
"10","GAMMA.Hertha.BSC",1.35362847859862,0.642849076702746,0.445376088044266,0.198359859801614,0.642849076702746,2.10567072063251,0.0352329648554539
"11","GAMMA.Hoffenheim",1.57115079223185,0.643818926032487,0.445491607509188,0.19846277236112,0.643818926032487,2.44036130145165,0.0146725790551144
"12","GAMMA.Köln",-0.0861811498285242,0.649553423274399,0.463832738151342,0.215140808980971,0.649553423274399,-0.132677539276269,0.894448406860699
"13","GAMMA.Mainz.05",-0.174351408069759,0.650400916358335,0.46560794190406,0.216790755564135,0.650400916358335,-0.2680675929025,0.788647290289133
"14","GAMMA.RB.Leipzig",1.26402123897786,0.642589884068582,0.445581162693523,0.198542572547312,0.642589884068582,1.96707304350118,0.0491747904595575
"15","GAMMA.Schalke.04",2.12524389571279,0.648221599340182,0.448666797836644,0.201301895480988,0.648221599340182,3.27857618116405,0.00104332199038105
"16","GAMMA.Stuttgart",1.28326880287946,0.642665856720328,0.445552382635697,0.198516925672346,0.642665856720328,1.99679007288216,0.0458479924241737
"17","GAMMA.Werder.Bremen",0.904973517821115,0.642482716530436,0.447643208166138,0.200384441817272,0.642482716530436,1.40855698454924,0.158966205809463
"18","GAMMA.Wolfsburg",0,0,0.46183664292031,0.213293084743902,NA,NA,0
