,Goal,X,Y,C,matchId,teamId,eventSec,Distance,Angle
923,0,9,57,7.0,2565883.0,687.0,1467.144243,10.084765738479005,0.6409583980197452
924,0,27,57,7.0,2565885.0,714.0,278.3608589999999,27.380695754490972,0.2622392413522203
925,0,29,72,22.0,2565887.0,712.0,2691.486159,32.33403779301311,0.2028499916527046
926,0,24,24,26.0,2565887.0,712.0,194.96680100000003,29.353194034039973,0.2042297968731472
927,0,19,27,23.0,2565888.0,692.0,83.99233099999998,24.176486510657416,0.238877293149603
928,0,25,60,10.0,2565889.0,676.0,1763.848711,25.83118270617898,0.27289633231810645
929,0,26,82,32.0,2565890.0,701.0,2220.347844,33.296246034650814,0.1720514181855112
930,0,20,34,16.0,2565891.0,675.0,559.9831079999999,22.542404485768593,0.28768963433679806
931,0,21,93,43.0,2565894.0,687.0,2121.809674,34.96001287185118,0.12648780140357002
932,0,24,73,23.0,2565895.0,680.0,958.3929130000001,28.275475239153806,0.21986821997089961
933,0,24,40,10.0,2565896.0,679.0,1072.587421,24.86463351831271,0.282672523110193
934,0,21,77,27.0,2565896.0,696.0,2094.05153,27.367910040775858,0.2060057890986383
935,0,21,27,23.0,2565896.0,679.0,2609.6389630000003,25.777946000408953,0.23184491459743725
936,0,23,38,12.0,2565897.0,714.0,1011.5985519999999,24.286621831782206,0.2841623987837269
937,0,25,84,34.0,2565898.0,714.0,2419.5472099999997,33.36779884859054,0.1648517034676665
938,0,25,70,20.0,2565898.0,714.0,2772.74619,28.178005607210743,0.23027525701201018
939,1,17,48,2.0,2565900.0,695.0,832.8609769999998,17.04963342714441,0.42182636030947934
940,0,20,26,24.0,2565901.0,674.0,1804.396681,25.364542179980305,0.2283409960116617
941,0,20,35,15.0,2565901.0,674.0,2785.1770079999997,22.25,0.2950716519341848
942,0,21,76,26.0,2565902.0,692.0,696.5256279999999,26.955704405561356,0.21228389436856282
943,0,10,20,30.0,2565903.0,678.0,987.0472120000004,21.914607000811127,0.15552779832720065
944,0,16,4,46.0,2565904.0,701.0,271.742767,33.91179735726197,0.10268046998696258
945,0,29,71,21.0,2565904.0,701.0,2597.845383,32.051872020211235,0.20638317631817035
946,0,21,31,19.0,2565904.0,701.0,166.60489099999995,24.36231721327017,0.25902377958115674
947,0,16,16,34.0,2565905.0,687.0,1971.9287,27.28387802347753,0.1588655926171917
948,0,27,50,0.0,2565905.0,680.0,2593.654077,27.0,0.269468598987303
949,0,30,64,14.0,2565906.0,683.0,72.70192700000001,31.349800637324634,0.22276882345139293
950,0,19,28,22.0,2565907.0,675.0,2903.13412,23.780033641691933,0.2467787362936724
951,0,20,40,10.0,2565907.0,676.0,1057.817462,21.02974084481309,0.328970153792355
952,1,23,67,17.0,2565909.0,696.0,856.518309,25.516710211153786,0.25811900082050737
953,0,27,66,16.0,2565912.0,675.0,1579.322643,28.93371735536241,0.23547214308821524
954,0,17,28,22.0,2565913.0,698.0,1863.359407,22.214634815814552,0.25361765397075897
955,0,29,33,17.0,2565915.0,714.0,155.954481,31.03389276259103,0.21990682937352307
956,0,22,35,15.0,2565917.0,676.0,351.454068,24.06371750166628,0.2773528964901874
957,0,25,36,14.0,2565918.0,692.0,341.788198,26.60469883310089,0.2576729986870897
958,0,27,19,31.0,2565918.0,692.0,909.3601510000001,33.69009498354079,0.1744178473777736
959,0,24,72,22.0,2565918.0,692.0,1574.8358010000002,27.937251117459642,0.22513747649155924
960,0,28,47,3.0,2565919.0,678.0,675.157496,28.067819651693647,0.2587346144460487
961,0,26,82,32.0,2565920.0,680.0,560.549706,33.296246034650814,0.1720514181855112
962,0,23,36,14.0,2565920.0,696.0,1607.1212670000004,24.734793308212623,0.2742540924575188
963,0,25,37,13.0,2565920.0,680.0,1861.4880469999998,26.389439175548993,0.2617841601401612
964,0,29,46,4.0,2565921.0,698.0,2504.781385,29.11631844859511,0.24913545348033334
