"","ar_sc","ar_xG","ar_extxG","ar_emp"
"144",-8.2,6.27,4.86,29.03
"145",-29.68,-21.93,-1.86,15.18
"146",-35.38,22.73,8.02,36.06
"147",-19.64,-21.93,2.44,-19.4
"148",-4.63,27.02,6.94000000000001,22.18
"149",-2.60000000000001,20.86,-17.67,-8.15
"150",-23.89,3.79,-24.98,-3.26
"151",-47.31,-11.91,-29.21,40.57
"152",1.32999999999999,6.34,50.77,-9.66
"153",28.83,7.25,-13.6,61.97
"154",-4.63,30.76,-5.3,26.51
"155",9.20000000000001,-24.19,11.65,2.87
"156",38.36,22.51,20.64,9.09000000000001
"157",-6.59999999999999,20.51,19.55,58.78
"158",18.77,3.26,-7.61,0.809999999999999
"159",-13.8,22.21,-11.99,27.65
"160",-50.86,2.86,-16.83,-17.96
"161",-9.38,29.35,-35.4,18.95
"162",21.12,11.48,-7.28,-25.21
"163",26.76,25.67,-2.68,-33.66
"164",-23.8,-4.34,-13.28,-2.63
"165",28.2,10.46,-0.959999999999993,32.94
"166",3.61,53.3,14.28,35.5
"167",4.33000000000001,-3.02,5.78,3.45
"168",-23.81,0.189999999999998,-20.78,-42.4
"169",-24.18,15.64,12.24,13
"170",-4.35,8.14,-15.34,82.2
"171",9.21,-23.17,16.73,30.19
"172",-31.98,16.85,-14.8,28.47
"173",-33.87,16.22,25.37,17.9
"174",-37.89,14.83,-0.66,18.24
"175",28.79,-28.14,-3.79999999999999,1.75999999999999
"176",-4.81,-46.23,-26.5,19.22
"177",-0.650000000000007,4.21000000000001,15.58,34.97
"178",13.82,-29.38,7.07,-50.51
"179",7.35,-8.05,-33.39,26.08
"180",8.56,1.18,2.56,-38.8
"181",15.91,34.95,8.71,-12.97
"182",-13.21,3.24000000000001,33.77,65.46
"183",-6.37,-47.94,-3.83,-4.73
"184",21.99,30.32,23.25,-22.88
"185",0.839999999999994,2.35999999999999,-4.04,-20.9
"186",-4.53999999999999,-18.32,6.88,-36.67
"187",-10.97,-23.44,4.44,28.48
"188",23.95,-8.51,-5.3,33.33
"189",0.750000000000005,-39.86,9.09,-18.66
"190",-27.8,-4.44999999999999,6.74,-41.54
"191",8.44,21.33,-12.51,24.53
"192",-9.34,11.97,-9.42999999999999,14.39
"193",27.46,-16.28,-46.86,7.22
"194",1.91,0.870000000000003,5.01,34.8
"195",-4.08,-37.8,-33.59,12.21
"196",-11.86,10.69,-9.69,-6.39
"197",-19.79,6.5,-17.24,2.31
"198",4.36,-0.39,-15.47,-27.31
"199",41.78,-25.01,-17.36,-25.63
"200",0.809999999999997,14.77,-9.22,-43.72
"201",1.67,-12.17,-9.55,0.340000000000002
"202",20.84,-52.28,-7.27,16.2
"203",-13.15,17.86,34.54,-39.4
"204",21.31,37.78,7.45,53.26
"205",34.75,25.61,12.34,-4.97
"206",-25.79,-8.05,-1.87999999999999,13.63
"207",-48.74,16.89,-17.33,-15.46
"208",57.29,-27.19,14.7,-1.02
"209",-2.86000000000001,-12.91,27.11,20.82
"210",5.71,55.71,6.37,-7.95
"211",-21.73,22.93,-29.75,38.01
"212",-10.33,-21.53,4.67,-32.89
"213",10.91,-0.249999999999992,12.72,12.14
"214",26.31,35.31,55.22,7.48000000000001
"215",-21.66,-9.79,-3.83999999999999,-47.63
"216",8.2,-1.65999999999999,-16.92,-18.83
"217",0.469999999999999,-15.06,1.2,10.08
"218",16.12,21.41,10.9,-7.76
"219",12.25,14.68,13.23,42.41
"220",-37.28,-8.56,-2.71999999999999,18.13
"221",-25.23,-4.08,-17.18,43.38
"222",-29.34,-9.61999999999999,29.1,19.49
"223",17.96,11.77,20.02,21.27
"224",-0.580000000000004,-15.09,-4.3,-40.98
"225",-9.42000000000001,3.52999999999999,-32.04,12.16
"226",33.19,-7.5,5.58000000000001,28.87
"227",-4.98,-34.88,25.05,21.79
"228",2.16,-32.1,-12.77,63.63
"229",6.1,2.20000000000002,22.29,8.39
"230",-15.66,38.2,15.79,17.55
"231",-19.65,11.77,-1.43,27.56
"232",-15.18,-35.51,27.32,68.31
"233",-14.14,20.24,-18.82,-49.32
"234",-2.99,14.01,4,31.49
"235",-19.7,-7.37,24.12,0.0500000000000067
"236",7.07,38.35,26.1,8.9
"237",-12.38,27.68,-12.8,51.32
"238",-37.2,-4.01,16.62,-27.49
"239",22.18,3.74,3.29,-25.71
"240",-24.91,-28.67,-18.13,19.76
"241",-1.06,29.96,42.63,-9.13
"242",-33.75,10.72,-2.32,21.48
"243",-11.54,-8,-22.65,-11.29
"244",-1.50000000000001,35.16,-13.42,59.24
"245",-11.36,-42.9,37.79,85.45
"246",-13.17,5.27999999999999,19.51,-2.31
