,team_home,team_away,ordresp
146,RB Leipzig,Schalke 04,1.0
147,Eintracht Frankfurt,Freiburg,3.0
148,Werder Bremen,Hoffenheim,3.0
149,Augsburg,Hamburger SV,2.0
150,Hannover 96,Mainz 05,2.0
151,Stuttgart,Hertha BSC,2.0
152,Bayer Leverkusen,Bayern München,5.0
153,RB Leipzig,Hertha BSC,4.0
154,Hannover 96,Bayer Leverkusen,3.0
155,Borussia Dortmund,Hoffenheim,2.0
156,Eintracht Frankfurt,Schalke 04,3.0
157,Köln,Wolfsburg,2.0
158,Werder Bremen,Mainz 05,3.0
159,Augsburg,Freiburg,3.0
160,Stuttgart,Bayern München,4.0
161,Borussia M'gladbach,Hamburger SV,1.0
162,Bayern München,Köln,2.0
163,Hertha BSC,Hannover 96,1.0
164,Schalke 04,Augsburg,2.0
165,Bayer Leverkusen,Werder Bremen,2.0
166,Hoffenheim,Stuttgart,2.0
167,Hamburger SV,Eintracht Frankfurt,4.0
168,Mainz 05,Borussia Dortmund,5.0
169,Freiburg,Borussia M'gladbach,2.0
170,Wolfsburg,RB Leipzig,3.0
171,Augsburg,Hertha BSC,3.0
172,Hannover 96,Hoffenheim,1.0
173,Köln,Freiburg,4.0
174,Borussia M'gladbach,Schalke 04,3.0
175,Borussia Dortmund,Werder Bremen,4.0
176,RB Leipzig,Mainz 05,3.0
177,Eintracht Frankfurt,Bayern München,4.0
178,Hamburger SV,Wolfsburg,3.0
179,Stuttgart,Bayer Leverkusen,5.0
180,Wolfsburg,Borussia M'gladbach,1.0
181,Hertha BSC,Eintracht Frankfurt,4.0
182,Schalke 04,Köln,3.0
183,Bayern München,Hannover 96,1.0
184,Hoffenheim,RB Leipzig,1.0
185,Werder Bremen,Stuttgart,2.0
186,Bayer Leverkusen,Borussia Dortmund,3.0
187,Mainz 05,Augsburg,5.0
188,Freiburg,Hamburger SV,3.0
189,Köln,Hertha BSC,5.0
190,Hamburger SV,Hoffenheim,1.0
191,Borussia M'gladbach,Bayern München,2.0
192,Borussia Dortmund,Schalke 04,3.0
193,RB Leipzig,Werder Bremen,1.0
194,Freiburg,Mainz 05,2.0
195,Augsburg,Wolfsburg,2.0
196,Eintracht Frankfurt,Bayer Leverkusen,4.0
197,Hannover 96,Stuttgart,3.0
198,Werder Bremen,Hannover 96,1.0
199,Schalke 04,Hamburger SV,1.0
200,Hertha BSC,Borussia M'gladbach,5.0
201,Bayern München,Augsburg,1.0
202,Hoffenheim,Eintracht Frankfurt,3.0
203,Bayer Leverkusen,RB Leipzig,3.0
204,Mainz 05,Köln,2.0
205,Wolfsburg,Freiburg,1.0
206,Stuttgart,Borussia Dortmund,2.0
207,Wolfsburg,Hertha BSC,3.0
208,Köln,Hoffenheim,5.0
209,Borussia Dortmund,Bayern München,5.0
210,RB Leipzig,Hannover 96,2.0
211,Freiburg,Schalke 04,4.0
212,Borussia M'gladbach,Mainz 05,3.0
213,Augsburg,Bayer Leverkusen,3.0
214,Hamburger SV,Stuttgart,1.0
215,Eintracht Frankfurt,Werder Bremen,2.0
216,Stuttgart,Freiburg,1.0
217,Werder Bremen,Augsburg,5.0
218,Bayern München,RB Leipzig,1.0
219,Hoffenheim,Borussia M'gladbach,5.0
220,Hertha BSC,Hamburger SV,2.0
221,Schalke 04,Wolfsburg,3.0
222,Bayer Leverkusen,Köln,2.0
223,Hannover 96,Borussia Dortmund,1.0
224,Mainz 05,Eintracht Frankfurt,3.0
225,Wolfsburg,Hoffenheim,3.0
226,Freiburg,Hertha BSC,3.0
227,Köln,Werder Bremen,3.0
228,Hamburger SV,Bayern München,4.0
229,RB Leipzig,Stuttgart,2.0
230,Borussia M'gladbach,Bayer Leverkusen,5.0
231,Eintracht Frankfurt,Borussia Dortmund,3.0
232,Augsburg,Hannover 96,4.0
233,Schalke 04,Mainz 05,1.0
234,Werder Bremen,Borussia M'gladbach,5.0
235,Bayer Leverkusen,Wolfsburg,3.0
236,Borussia Dortmund,RB Leipzig,4.0
237,Bayern München,Freiburg,1.0
